门店名称	门店编号	门店地区	门店地址	门店类别	所属商户名称	所属商户编号	商圈编号	商圈名称	是否配置商圈	所属分行机构	品牌名称（考核）	门店状态	变更状态	是否系统隐藏	创建时间	是否同步商户联系人姓名	营业时间	营业开始时间	营业结束时间	是否支持多券核销	是否支持在线买单	是否本分行维护门店
combo coffee（同心路店）	112606151431390127790	上海市市辖区虹口区	同心路723号	美食-咖啡饮品	上海市虹口区巍邦咖啡店(个体工商户)	102606151407220031943			否	上海分行-上海分行-零售产品营销中心	combo	正常	变更审核通过	0	2026-06-15 14:34:39	是	每天	07:00:00	16:00:00	否	是	是
Trek崔克自行车（长宁路店）	112605281016200124835	上海市市辖区长宁区	长宁路1960号	生活服务-其他	"上海畅鸣商贸有限公司	"	102605280957030031802			否	上海分行-上海分行-零售产品营销中心	Trek崔克自行车	正常	变更审核通过	0	2026-05-28 10:18:10	是	每天	12:00:00	20:00:00	否	是	是
上海宝山仰望中心	112605151952230124291	上海市市辖区宝山区	上海市宝山区江杨南路1381号	汽车生活-其他	深圳仰望汽车销售有限公司	102604301712580031512			否	深圳分行-深圳分行-零售产品营销中心	仰望	正常	审核通过	0	2026-05-15 19:52:34	是	每天	09:00:00	18:00:00	是	否	是
上海虹桥仰望中心	112605151952240124292	上海市市辖区闵行区	上海市闵行区吴中路1258号2幢	汽车生活-其他	深圳仰望汽车销售有限公司	102604301712580031512			否	深圳分行-深圳分行-零售产品营销中心	仰望	正常	审核通过	0	2026-05-15 19:52:34	是	每天	09:00:00	18:00:00	是	否	是
上海陆家嘴仰望体验展厅	112605151952240124293	上海市市辖区浦东新区	上海市浦东新区世纪大道210号101室	汽车生活-其他	深圳仰望汽车销售有限公司	102604301712580031512			否	深圳分行-深圳分行-零售产品营销中心	仰望	正常	审核通过	0	2026-05-15 19:52:34	是	每天	09:00:00	18:00:00	是	否	是
上海外滩仰望体验展厅	112605151952250124294	上海市市辖区黄浦区	上海市黄浦区中山东一路27号	汽车生活-其他	深圳仰望汽车销售有限公司	102604301712580031512			否	深圳分行-深圳分行-零售产品营销中心	仰望	正常	审核通过	0	2026-05-15 19:52:34	是	每天	09:00:00	18:00:00	是	否	是
亲吖拉面（庆荣路店）	112604221136170122729	上海市市辖区浦东新区	庆荣路319-321号	美食-其他	"上海井飞餐饮管理有限公司	"	102604221049020031331			否	上海分行-上海分行-零售产品营销中心	亲吖拉面	正常	变更审核通过	0	2026-04-22 17:46:46	是	每天	09:00:00	21:00:00	是	是	是
Rhino健身（新天地店）	112604211524530122716	上海市市辖区黄浦区	马当路388号SOHO复兴广场A栋602	运动-健身中心	"上海福犀禧体育发展有限公司	"	102604211440190031319			否	上海分行-上海分行-零售产品营销中心	Rhino	正常	变更审核通过	0	2026-04-22 09:59:50	是	每天	08:00:00	22:00:00	是	是	是
Rhino（静安店）	112604201758380122671	上海市市辖区静安区	华山路2号1602室	运动-健身中心	"上海邦邦德体育发展有限公司	"	102604201744590031303			否	上海分行-上海分行-零售产品营销中心	Rhino	正常	变更审核通过	0	2026-04-22 09:59:33	否	每天	08:00:00	21:00:00	是	是	是
燕蘭楼（东方路店）	112604171426110122526	上海市市辖区浦东新区	中国自由贸易试验区东方路969号3层W-2室	美食-西北菜	"上海汭德餐饮服务有限公司	"	102604171410170031279			否	上海分行-上海分行-零售产品营销中心	燕蘭楼	正常	变更审核通过	0	2026-04-17 14:35:05	是	每天	10:30:00	21:30:00	是	是	是
